,Title,Organization,Skills,Ratings,course_url,course_students_enrolled,course_description,Review Count,Difficulty,Type,Duration
273,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem," Computational Logic, Computer Architecture, Computer Programming, Hardware Design, Theoretical Computer Science, Computer Programming Tools, Critical Thinking, Problem Solving, Systems Design",4.9,https://www.coursera.org/learn/build-a-computer,"150,886","Build Dynamic User Interfaces (UI) for Websites is the sixth course in a program that will equip you with the skills you need to apply to entry-level jobs in user experience (UX) design. In this course, you will plan a design for a website, create wireframes and prototypes, and test your designs to get feedback. Additionally, you will learn about engaging in design critique sessions and how to give and receive feedback. By the end of this course, you will have a new design project to include in your professional UX portfolio. In addition, you’ll learn how to search for entry-level UX design jobs, create a resume that highlights your skills and accomplishments, and build your professional portfolio website. 
Current UX designers and researchers at Google will serve as your instructors, and you will complete hands-on activities that simulate real-world UX design scenarios. Learners who complete the seven courses in this certificate program should be equipped to apply for entry-level jobs as UX designers.

By the end of this course, you will be able to:
   - Apply each step of the UX design thinking framework (empathize, define, ideate, prototype, test) to create a responsive website.
   - Plan information architecture and create sitemaps for website designs. 
   - Apply common layouts for web pages. 
   - Plan and conduct a usability study to gather feedback about designs. 
   - Iterate on designs based on research insights. 
   - Work with design systems.
   - Add a new design project to your professional UX portfolio. 
   - [Optional] Create or update a UX-focused resume. 
   - [Optional] Learn how to search for and apply to introductory-level jobs in the field of UX.

This course is suitable for beginner-level UX designers who have completed the previous five courses of the Google UX Design Certificate. Alternatively, learners need to have a strong foundational understanding of the design process; experience creating wireframes, mockups, and prototypes; and the ability to conduct usability studies. No previous experience with Figma is required.
",3.5K,Mixed,Course,1 - 3 Months
274,Branding: The Creative Journey,IE Business School," Brand Management, Marketing, Leadership and Management, Advertising, Communication, Strategy, Creativity, Strategy and Operations, User Experience, Customer Analysis, Design and Product, Media Strategy & Planning, Customer Relationship Management, Customer Success, Customer Support, Social Media, Storytelling, User Experience Design, Visual Design, Graphic Design, Journalism",4.6,https://www.coursera.org/specializations/branding-the-creative-journey,"129,803","This is the first course in a series of four that will give you the skills needed to start your career in bookkeeping. If you have a passion for helping clients solve problems, this course is for you.  In this course, you will be introduced to the role of a bookkeeper and learn what bookkeeping professionals do every day. You will dive into the accounting concepts and terms that will provide the foundation for the next three courses. You will learn how to work your way through the accounting cycle and be able to read and produce key financial statements.
By the end of this course, you will be able to:
-Define accounting and the concepts of accounting measurement
-Explain the role of a bookkeeper and common bookkeeping tasks and responsibilities
-Summarize the double entry accounting method
-Explain the ethical and social responsibilities of bookkeepers in ensuring the integrity of financial information.

No previous bookkeeping or accounting experience required.
",1.4K,Beginner,Specialization,3 - 6 Months
275,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London," Human Resources, Leadership and Management, People Management, Conflict Management, Decision Making, Human Resources Operations, People Analysis, Performance Management, Recruitment, Business Analysis, Employee Relations, Leadership Development, Organizational Development, People Development",4.7,https://www.coursera.org/learn/people-management,"147,248","The aim of this course is to give you a practical guide to managing people at work. It does not matter whether you are a first time manager in a shop or a middle manager in an office environment; the same skills apply to every work place. In the course you will engage with some HR theories and then see how they translate into every day working life. 
At the end of the course we hope you will be better equipped to choose a suitable employee, to motivate and appraise your team, to manage conflict in the work place and to lead and make decision on a day to day basis.
",3.6K,Mixed,Course,1 - 3 Months
276,Talent Acquisition,HRCI," Mergers & Acquisitions, Recruitment",4.8,https://www.coursera.org/learn/talent-acquisition,"15,469","This course focuses on all aspects of the talent acquisition process. You will learn how to forecast workforce needs, source and recruit talented candidates, and hire and onboard new employees.
By the end of this course, you will be able to:
● Create a recruitment strategy
● Perform a job analysis and write a job description
● Explain the talent acquisition life cycle
● Identify core elements of negotiation, job offers, and employment contracts
● Implement best practices for employee onboarding

No prior experience in Human Resources is needed to be successful in this course.
",289,Beginner,Course,1 - 4 Weeks
277,Convolutional Neural Networks in TensorFlow,DeepLearning.AI," Machine Learning, Deep Learning, Machine Learning Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Human Learning, Tensorflow, Python Programming, Machine Learning Software",4.7,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,"122,100","Construction Project Management introduces learners to Project Initiation and Planning. Columbia University professor, Ibrahim Odeh, along with industry experts join together to provide a comprehensive overview of the construction industry. There are 10 modules that allow learners to become knowledgeable of construction management within the dynamic construction industry. 
Professor Odeh teaches learners about the fundamentals of the Project Development Cycle while guest lecturers discuss Lean Project Delivery method and Lean Design Behaviors. Technological advances, such as Building Information Modeling (BIM), will be introduced with real world examples of the uses of BIM during the Lifecycle of the Project. The course concludes with Professor Odeh discussing the importance of project planning and scheduling and an opportunity to develop a Work Breakdown Structure.

By the end of this course, you will be able to:
-Learn about construction management, including an understanding of the construction industry, the role of a project manager, construction contract types, and project delivery methods 
-Explain the fundamental principles to establish Environment, Health and Safety in the construction industry
-Detail the principles and application of sustainability development in construction industry
-Summarize the work breakdown structure (WBS) and estimate the construction activity duration
",8K,Intermediate,Course,1 - 4 Weeks
278,Reducing Gun Violence in America: Evidence for Change,Johns Hopkins University, Exploratory Data Analysis,4.7,https://www.coursera.org/learn/gun-violence,"10,852","Reducing Gun Violence in America: Evidence for Change is designed to provide learners with the best available science and insights from top scholars across the country as well as the skills to understand which interventions are the most effective to offer a path forward for reducing gun violence in our homes, schools, and communities.
Through this course, you will learn how to:
1.	Appreciate the scope of gun violence and the importance of considering the issue across a variety of contexts.
2.	Describe the role of law and policy in addressing gun violence at the federal, state, and local levels.
3.	Compare the effectiveness of gun violence policies and highlight the importance of changing the way we talk about gun                      
        violence.
4.	Describe state standards for civilian gun carrying and use and how those standards affect crime and violence.
5.	Describe how firearm design is regulated, the effective and just enforcement of firearm laws, and strategies for reducing 
        police-involved shootings.
6.	Identify and explain evidence-based programs to reduce gun violence and understand public opinion on gun policy.

As a student of this course, it’s important to recognize that you are part of an international learning community. We understand that gun violence can be a difficult issue to discuss and we all have our own set of opinions and beliefs. However, we ask you to please remember that gun violence is something that affects every person differently. It’s important to understand that this course is intended to generate productive and meaningful conversation. 

We ask students of this course to abide by the rules outlined and expected of you by Coursera’s Code of Conduct Policy. Please help us promote a healthy, productive, and sustainable learning environment for all and practice the following principles:

Be polite.
	Treat your fellow learners with respect.
	Insulting, condescending, or abusive words will not be tolerated.
	Do not harass other learners.
	Polite debate is welcome as long as you are discussing the ideas or the evidence, not attacking the person.

Be sensitive.
	Remember that Coursera is a global forum with learners from many different cultures and backgrounds.
	Be kind, thoughtful, and open-minded when discussing race, religion, gender, sexual orientation, or controversial topics 
        since others likely have differing perspectives.

Post appropriate content.
	Content that violates the Honor Code or Terms of Service is not permitted.
	You may not post inappropriate (e.g., pornographic or obscene) content.
	Do not post copyrighted content.
	Do not advertise or promote outside products or organizations.
	Do not spam the forums with repetitive content.

Please note that violations of Coursera’s Code of Conduct, Honor Code, or Terms of service are not permitted and may result in:
	Deletion of posted content.
	Removal from the course.
	Losing access to the Coursera site.

*It is important to also note that certain policies and laws mentioned in this course are likely to change and develop over time. As a result, we understand that course content may need to be updated to reflect such changes. While we will strive to do this as quickly as possible, we appreciate your patience. All information included in the course is reported accurately at the time of recording and we intend to update lectures as soon as possible and to the best of our ability.

The development of this course was made possible through generous financial support provided by the David and Lucile Packard Foundation, an organization committed to improving the lives of children, enabling the creative pursuit of science, advancing reproductive health, and conserving and restoring the earth’s natural systems.
",258,Beginner,Course,1 - 3 Months
279,Build Dynamic User Interfaces (UI) for Websites,Google," User Experience, User Research, Web Design, Web Development Tools",4.8,https://www.coursera.org/learn/responsive-web-design-adobe-xd,"41,736","This Specialization aims to make branding concepts accessible to every learner and to teach them to analyze and apply all the relevant concepts, using the broad and diverse toolkit of branding.  It provides you with the necessary tools so that you are able to understand the brand behavior, understand the language of a brand and learn about the rational and emotional elements behind brands.  It also attempts to make you understand the language of images. The amount of audiovisual content we receive today makes it hard for brands to break through that noise. It ends up teaching how to understand branding efforts in the context of customer experience.
We must think in a strategic manner when creating brands. Branding is about co-creation and conversation between the audiences, customers and users. What is relevant is how people out there perceive and live the brand. Brands are the story, the personality and the culture of an organization; the intangible elements that form it. 
Applied Learning Project
At the end of each MOOC, you will find a capstone project. You will have the opportunity to put into practice everything learned during the course. First, you must develop a brand strategy and identity for a restaurant in Menorca. In addition, you will have to create a content strategy plan, which includes the brand strategy and target audience, the story behind it, the platforms what you will use to communicate this message and finally the concept and treatment of this story. You will also have to produce a creative pitch for the rebranding of an existing brand; you will have to build it up as if you were going to expose this pitch to the client, the brand itself. Finally, you will deliver a customer journey to understand the stages of the interaction of the brand department with the product or service the brand provides to the customers.
",2.9K,Beginner,Course,1 - 3 Months
280,Introduction to Discrete Mathematics for Computer Science,University of California San Diego," Mathematics, Problem Solving, Mathematical Theory & Analysis, Algorithms, Critical Thinking, Graph Theory, Combinatorics, Computational Thinking, Probability & Statistics, Computer Programming, Python Programming, Computational Logic, General Statistics, Theoretical Computer Science, Probability Distribution, Strategy, Creativity, Experiment, Calculus, Game Theory, Visualization (Computer Graphics), Cryptography, Sales",4.5,https://www.coursera.org/specializations/discrete-mathematics,"87,314","Get started with your DevOps journey with this beginner-friendly course! DevOps skills are high in demand and expected to be one of the fastest-growing skills in the software industry. This course is designed to be a first step in obtaining those valuable skills.  
This self-paced introductory course explores DevOps as a cultural movement. It describes the business case for DevOps, and covers its essentials. This course teaches new ways of thinking, working, organizing, and measuring to fully realize the benefits of DevOps. By applying DevOps practices, you will be able to build better products for your users.  

You will learn how breaking down silos and organizing developers and operators into single cross-functional teams is necessary for truly adopting DevOps. Having everyone contributing and everyone being responsible for success is at the heart of DevOps. You will see how building a culture of shared responsibility and transparency is the foundation of every high-performing DevOps teams. 

You’ll learn how you can use cloud native architecture to build resilience in your products and learn about helpful DevOps tools like horizontal scaling and independently deployable microservices. You will explore how Agile Methodologies like Scrum are crucial to DevOps as well as learn about Continuous Integration and Continuous Delivery (CI/CD), which enables frequent deployments and working as a team to create high-quality code. 

This course concludes with case studies about DevOps-based scenarios, which you will analyze and relate to DevOps concepts learnt throughout this course. 

This course is designed for those new to DevOps as well as those looking to increase their current knowledge of DevOps.
",3.4K,Beginner,Specialization,3 - 6 Months
281,Python Programming Fundamentals,Duke University," Algorithms, Computer Programming, Problem Solving, Python Programming",4.1,https://www.coursera.org/learn/python-programming-fundamentals,"4,889","This introductory course is designed for beginners and individuals with limited programming experience who want to embark on their software development or data science journey using Python. Throughout the course, learners will gain a solid understanding of algorithmic thinking, Python syntax, code testing, debugging techniques, and modular code development--essential skills for a successful career in software engineering, development, or data science. 
By the end of this course, you will learn to:

- Gain a stepwise approach to problem-solving using algorithms and programming logic.
- Apply common functions, conditional statements, and loops to build Python scripts and programs.
- Work with the VS Code programming environment to enhance coding proficiency.
- Use testing and debugging strategies to ensure code reliability.
- Perform logical and mathematical operations on datasets.

In the final week of the course you will apply your new algorithm design and programming skills to a data analysis problem: analyzing heart rate data.
",11,Beginner,Course,1 - 4 Weeks
282,Epidemiology in Public Health Practice,Johns Hopkins University," Epidemiology, Data Analysis, Data Visualization, Problem Solving, Estimation",4.7,https://www.coursera.org/specializations/professional-epidemiology,"59,402","Wharton's Entrepreneurship Specialization covers the conception, design, organization, and management of new enterprises. This five-course series is designed to take you from opportunity identification through launch, growth, financing and profitability. With guidance from Wharton's top professors, along with insights from current Wharton start-up founders and financiers, you'll develop an entrepreneurial mindset and hone the skills you need to develop a new enterprise with potential for growth and funding, or to identify and pursue opportunities for growth within an existing organization.
",4.2K,Beginner,Specialization,3 - 6 Months
283,Foundations of Data Structures and Algorithms,University of Colorado Boulder," Algorithms, Theoretical Computer Science, Data Structures, Computer Programming, Graph Theory, Problem Solving, Computational Logic, Computational Thinking, Mathematical Theory & Analysis, Mathematics, Applied Mathematics, Python Programming",4.6,https://www.coursera.org/specializations/boulder-data-structures-algorithms,"75,444","This is the first of seven courses in the Google Advanced Data Analytics Certificate, which will help develop the skills needed to apply for more advanced data professional roles, such as an entry-level data scientist or advanced-level data analyst. Data professionals analyze data to help businesses make better decisions. To do this, they use powerful techniques like data storytelling, statistics, and machine learning. In this course, you’ll begin your learning journey by exploring the role of data professionals in the workplace. You’ll also learn about the project workflow PACE (Plan, Analyze, Construct, Execute) and how it can help you organize data projects.   
Google employees who currently work in the field will guide you through this course by providing hands-on activities that simulate relevant tasks, sharing examples from their day-to-day work, and helping you enhance your data analytics skills to prepare for your career. 

Learners who complete the seven courses in this program will have the skills needed to apply for data science and advanced data analytics jobs. This certificate assumes prior knowledge of foundational analytical principles, skills, and tools covered in the Google Data Analytics Certificate.  

By the end of this course, you will:
-Describe the functions of data analytics and data science within an organization
-Identify tools used by data professionals 
-Explore the value of data-based roles in organizations 
-Investigate career opportunities for a data professional 
-Explain a data project workflow 
-Develop effective communication skills
",393,Advanced,Specialization,3 - 6 Months
284,Design a User Experience for Social Good & Prepare for Jobs,Google," User Experience, Social Media, User Research, Web Design",4.8,https://www.coursera.org/learn/ux-design-jobs,"27,902","In the fourth course of Machine Learning Engineering for Production Specialization, you will learn how to deploy ML models and make them available to end-users. You will build scalable and reliable hardware infrastructure to deliver inference requests both in real-time and batch depending on the use case. You will also implement workflow automation and progressive delivery that complies with current MLOps practices to keep your production system running. Additionally,  you will continuously monitor your system to detect model decay, remediate performance drops, and avoid system failures so it can continuously operate at all times.  
Understanding machine learning and deep learning concepts is essential, but if you’re looking to build an effective AI career, you need production engineering capabilities as well. Machine learning engineering for production combines the foundational concepts of machine learning with the functional expertise of modern software development and engineering roles to help you develop production-ready skills.

Week 1: Model Serving Introduction
Week 2: Model Serving Patterns and Infrastructures
Week 3: Model Management and Delivery
Week 4: Model Monitoring and Logging
",3K,Beginner,Course,1 - 3 Months
285,Learn to Program: The Fundamentals,University of Toronto," Computer Programming, Python Programming, Computational Logic, Problem Solving, Programming Principles, Computer Programming Tools, Critical Thinking, Computational Thinking, Algorithms, Process Analysis",4.7,https://www.coursera.org/learn/learn-to-program,"421,737","Behind every mouse click and touch-screen tap, there is a computer program that makes things happen. This course introduces the fundamental building blocks of programming and teaches you how to write fun and useful programs using the Python language.
",6.3K,Beginner,Course,1 - 3 Months
286,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk," Computer Graphics, Computer Graphic Techniques, Design and Product, Feature Engineering, Research and Design, Software Architecture, Software Engineering, User Experience Design, Visualization (Computer Graphics)",4.7,https://www.coursera.org/learn/autodesk-autocad-design-drafting,"54,405","The demand placed on today’s engineers goes above and beyond the job description. Products have become complex and engineers are more frequently asked to leave specialized roles and to take on a wide variety of tasks that are beyond their traditional responsibilities.  These tasks are centered on form, fit, and function. Engineers need to factor in broader concerns such as cost, procurement, sustainability, manufacturability, and serviceability. Their role has moved away from an individual responsibility to working as part of a collaborative engineering team, executing tradeoffs with both engineering and business stakeholders to meet project goals. These trends have forced today’s engineers to broaden their skillset to be successful. 
Engineers today are required to be on the cutting edge of design innovation. This means not only understanding engineering principles that govern the title and role, but also perfecting the toolsets needed to design and develop products.  
Through this specialization, you’ll learn the foundations of applying computer aided design (CAD), computer aided engineering (CAE), and manufacturing principles while developing your technical skills within Autodesk Fusion 360. 
Looking for Autodesk Fusion 360 certification prep courses? Check out additional learning resourcesOpens in a new tab to help you uplevel your skills.
",2.5K,Advanced,Course,1 - 4 Weeks
287,Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud," DevOps, Software Engineering, Strategy and Operations, Decision Making, Leadership and Management, Operational Analysis, Performance Management, User Experience, Problem Solving, Critical Thinking",4.5,https://www.coursera.org/learn/site-reliability-engineering-slos,"48,390","Service level indicators (SLIs) and service level objectives (SLOs) are fundamental tools for measuring and managing reliability. In this course, students learn approaches for devising appropriate SLIs and SLOs and managing reliability through the use of an error budget.
",864,Intermediate,Course,1 - 3 Months
288,Data Mining,University of Illinois at Urbana-Champaign," Machine Learning, Data Analysis, Data Mining, Machine Learning Algorithms, Natural Language Processing, Probability & Statistics, Data Visualization, Bayesian Statistics, General Statistics, Probability Distribution, Statistical Programming, Algorithms, Mathematical Theory & Analysis, Python Programming, Data Visualization Software",4.5,https://www.coursera.org/specializations/data-mining,"57,016","87% of Google Cloud certified users feel more confident in their cloud skills. This program provides the skills you need to advance your career and provides training to support your preparation for the industry-recognized Google Cloud Professional Data EngineerOpens in a new tab certification.
Here's what you have to do
1) Complete the Coursera Data Engineering Professional Certificate
2) Review other recommended resources for the Google Cloud Professional Data Engineer certificationOpens in a new tab exam
3) Review the Professional Data Engineer exam guideOpens in a new tab
4) Complete Professional Data Engineer Opens in a new tabsample questions
5) RegisterOpens in a new tab for the Google Cloud certification exam (remotely or at a test center)
Applied Learning Project
This professional certificate incorporates hands-on labs using Qwiklabs platform.These hands on components will let you apply the skills you learn. Projects incorporate Google Cloud products used within Qwiklabs. You will gain practical hands-on experience with the concepts explained throughout the modules.
Applied Learning Project
 This Specialization incorporates hands-on labs using our Qwiklabs platform.
These hands on components will let you apply the skills you learn in the video lectures. Projects will incorporate topics such as BigQuery, which are used and configured within Qwiklabs. You can expect to gain practical hands-on experience with the concepts explained throughout the modules.
",2.9K,Intermediate,Specialization,3 - 6 Months
289,Excel/VBA for Creative Problem Solving,University of Colorado Boulder," Spreadsheet Software, Computer Programming, Problem Solving, Microsoft Excel, Programming Principles, Data Analysis, Critical Thinking, Algorithms, Computer Programming Tools, Computational Logic, Computational Thinking",4.8,https://www.coursera.org/specializations/excel-vba-creative-problem-solving,"72,468","As data becomes the modern currency, so the ability to quickly and accurately analyse data has become of paramount importance. Therefore, data analytics and visualization are two of the most sought after skills for high paying jobs with strong future growth prospects. According to an IBM reportOpens in a new tab, the Excel tools for data analytics and visualization are among the top 10 competencies projected to show double-digit growth in their demand. This course will help you develop your analytical and visualization skills so that you not only improve your current work performance but also expand your future job prospects. For those in business and data analysis who want to master advanced Excel and beginner Power BI
, that will add an asset to your employability portfolio.
Upon completing this specialization, you will be able to bring data to life using advanced Excel functions, creative visualizations, and powerful automation features. These courses will equip you with a comprehensive set of tools for transforming, linking, and analysing data. You will master a broad range of charts and create stunning interactive dashboards. Finally, you will explore a new dimension in Excel with PowerPivot, Get and Transform, and DAX.  Harnessing the power of an underlying database engine, we will remove the 1,048,576 row limitation, completely automate data transformation, create data models to effectively link data, and open the gateway to Power Business Intelligence.
Applied Learning Project
Working with datasets similar to those typically found in a business, you will use powerful Excel tools to wrangle the data into shape, create useful visualizations, and prepare dashboards and report to share your results. You will learn to create a data workflow to automate your analysis and make the results flexible and reproducible.
",4.6K,Beginner,Specialization,3 - 6 Months
290,Excel Skills for Data Analytics and Visualization,Macquarie University," Business Analysis, Spreadsheet Software, Data Analysis, Data Analysis Software, Data Visualization, Microsoft Excel, Data Management, Exploratory Data Analysis, Statistical Visualization, Data Model, Data Structures, Data Visualization Software, Database Design, Interactive Design, Plot (Graphics), Visual Design, Big Data, Power BI",4.8,https://www.coursera.org/specializations/excel-data-analytics-visualization,"145,303","As data becomes the modern currency, so the ability to analyse the data quickly and accurately has become of paramount importance. Excel with its extraordinarily broad range of features and capabilities is one of the most widely used programs for doing this. In the first course of our Excel Skills for Data Analysis and Visualization Specialization, you will learn the fundamentals of Excel for data analysis. When you have completed the course, you will be able to use a range of Excel tools and functions to clean and prepare data for analysis; automate data analysis with the help of Named Ranges and Tables; and use logical and lookup functions to transform, link and categorise data.
This course will enable you to build a strong foundation in the fundamentals, helping you to be more efficient in your day-to-day and developing the necessary skills to work with the more advanced techniques used in later courses. To make the content easy to relate to and to personalize the learning experience, we are going to follow Zara's journey through the course. Who is Zara? Well, she is no-one and everyone. You will find that Zara's trials and tribulations sound familiar, and together with Zara, you will develop your Excel skills along the way — and, importantly, have some fun doing it.

The Excel Skills for Data Analytics and Visualization courses are the sequel to one of most successful specializations on Coursera, Excel Skills for Business, which has attracted hundreds of thousands of learners and top ratings. Transform your skills, your confidence, and your opportunities by adding this new set of skills to your repertoire.
",4.8K,Intermediate,Specialization,3 - 6 Months
291,"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University," Mathematics, Linear Algebra, Algebra, Geometry, Computer Programming, Mathematical Theory & Analysis, Computer Programming Tools, Matlab, Python Programming, Algorithms, Critical Thinking, Problem Solving, Differential Equations, Graph Theory, Spatial Analysis, Planning, Supply Chain and Logistics",4.7,https://www.coursera.org/specializations/modernrobotics,,"Embark on an exciting journey into the thriving realm of project management and prepare for a promising career ahead. In this program, you'll gain invaluable skills, knowledge, and a robust portfolio that will give you a competitive edge in the job market as an entry-level project manager. No prior experience or expertise required.
Working collaboratively across teams, project managers deftly manage risks, establish effective communication channels with stakeholders, and provide guidance to team members. In our rapidly evolving and dynamic world, the demand for skilled project managers who can navigate these complexities and ensure project success has never been greater.
Throughout this program, you'll learn not only the methodology and language of project management, you'll master the essential processes and tools necessary to set up projects for success.
By the program's conclusion, you'll possess a diverse portfolio of projects that showcases your proficiency. Your portfolio will include project timelines, roles and responsibility matrices, stakeholder management tools, and communication plans. 
Furthermore, our program is designed to prepare you for the attainment of esteemed project management certifications, such as the prestigious CAPM certification from PMI. With our comprehensive curriculum and expert guidance, you'll be well-prepared to take that next important step in your career journey.
Applied Learning Project
This Specialization has a strong emphasis on applied learning and includes a series of hands-on activities. In these exercises, you’ll take the theory and skills you’ve gained and apply it to real-world scenarios. From building a timeline, tracking issues, or setting up a communications plan, we’ll provide realistic scenarios you might encounter as a project manager. Compiling these tools together will provide you with a portfolio showcasing your experience to help you shine for potential employers.
The final course in this program is a capstone course that was developed based on the CAPM exam. It will test your learnings about project management and help prepare you for taking the official CAPM exam down the road.
",1.1K,Intermediate,Specialization,3 - 6 Months
292,Data Visualization with Python,IBM," Python Programming, Computer Programming, Data Analysis, Data Visualization",4.5,https://www.coursera.org/learn/python-for-data-visualization,"320,613","Computer science legend Donald Knuth once said “I don’t understand things unless I try to program them.” We also believe that the best way to learn an algorithm is to program it. However, many excellent books and online courses on algorithms, that excel in introducing algorithmic ideas, have not yet succeeded in teaching you how to implement algorithms, the crucial computer science skill that you have to master at your next job interview. We tried to fill this gap by forming a diverse team of instructors that includes world-leading experts in theoretical and applied algorithms at UCSD (Daniel Kane, Alexander Kulikov, and Pavel Pevzner) and a former software engineer at Google (Neil Rhodes). This unique combination of skills makes this Specialization different from other excellent MOOCs on algorithms that are all developed by theoretical computer scientists. While these MOOCs focus on theory, our Specialization is a mix of algorithmic theory/practice/applications with software engineering. You will learn algorithms by implementing nearly 100 coding problems in a programming language of your choice. To the best of knowledge, no other online course in Algorithms comes close to offering you a wealth of programming challenges (and puzzles!) that you may face at your next job interview. We invested over 3000 hours into designing our challenges as an alternative to multiple choice questions that you usually find in MOOCs.  
Applied Learning Project
The specialization contains two real-world projects: Big Networks and Genome Assembly. You will analyze both road networks and social networks and will learn how to compute the shortest route between New York and San Francisco 1000 times faster than the shortest path algorithms you learn in the standard Algorithms 101 course! Afterwards, you will learn how to assemble genomes from millions of short fragments of DNA and how assembly algorithms fuel recent developments in personalized medicine.
",11K,Intermediate,Course,1 - 3 Months
293,Trading Strategies in Emerging Markets,Indian School of Business," Finance, Investment Management, Financial Analysis, Securities Trading, Accounting, Algorithms, Strategy, Financial Accounting, Market Analysis, Business Analysis, Statistical Analysis, Risk Management, Strategy and Operations, Account Management, Behavioral Economics, Decision Making, General Accounting, Market Research, Performance Management, Correlation And Dependence, Statistical Tests",4.2,https://www.coursera.org/specializations/trading-strategy,"61,143","This Specialization equips individual investors and money managers with the skills required to develop their own trading strategies and test them. When you complete the Specialization, you’ll be ready to apply eight ready-made trading strategies, based on rigorous academic research, that have been shown to be. You’ll also be able to design your own trading strategy, back test it, and measure its performance.
Applied Learning Project
In the capstone project, the learners will be able to design a new trading strategy and evaluate it using the tools learned in the course. They will also be able to integrate it with the existing portfolio and also develop a plan to start a hedge fund.
",2.6K,Beginner,Specialization,3 - 6 Months
294,Deep Neural Networks with PyTorch,IBM," Human Learning, Machine Learning, Deep Learning, Python Programming, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Regression, Statistical Machine Learning",4.4,https://www.coursera.org/learn/deep-neural-networks-with-pytorch,"25,861","DeFi and the Future of Finance is a four course learning experience. DeFi or Decentralized Finance is a new technology whereby users interact as peers with algorithms or smart contracts rather than through traditional intermediaries such as banks, brokerages or insurance companies.  The technology has the potential to transform finance as we know it. It solves key problems in traditional finance such as lack of inclusion, inefficiency, opacity, centralized control and lack of interoperability. 
The first course, DeFi Infrastructure, focuses on the historical evolution of decentralized finance as well as the problems that DeFi solves. 
The second course, DeFi Primitives, deals with mechanics, supply and ownership, and loans and swaps. 
The third course, DeFi Deep Dive, explores the leading protocols including MakerDAO, Compound, Aave, Uniswap and dYdX. 
The fourth course, DeFi Risks and Opportunities, analyzes the key risks including smart contract risk, governance risk, scaling as well as regulatory issues. The final part of the course sketches a vision of finance in the future including the winners and the losers.
",1.5K,Intermediate,Course,1 - 3 Months
295,Learn English: Intermediate Grammar,"University of California, Irvine"," Writing, Communication",4.8,https://www.coursera.org/specializations/intermediate-grammar,"121,485","This specialization covers common topics in intermediate grammar, such as perfect verb tenses and adjective clauses. It will also cover ""tricky English"" grammar topics that learners of English often find frustrating. The capstone will give you a chance to review all of the knowledge you've learned in the courses and create a multi-media ""scrapbook"" of grammar to keep with you after the specialization ends.
",5.1K,Intermediate,Specialization,3 - 6 Months
296,Introduction to Computer Science and Programming,University of London," Mathematical Theory & Analysis, Mathematics, Problem Solving, Algebra, Calculus, Computer Networking, Applied Mathematics, Critical Thinking, Theoretical Computer Science, Computer Programming, Javascript",4.2,https://www.coursera.org/specializations/introduction-computer-science-programming,"242,241","Start your cloud computing journey with this self-paced introductory course! Whether you need general cloud computing knowledge for school or business, or you are considering a career change, this beginner-friendly course is right for you. 
In this course you’ll learn about essential characteristics of cloud computing and emerging technologies supported by cloud. You’ll explore cloud service models, including Infrastructure as a Service (IaaS), Platform as a Service (PaaS), Software as a Service (SaaS), and Public, Private, and Hybrid deployment models. 

Discover the offerings of prominent cloud service providers AWS, Google, IBM, Microsoft, and others, and review cloud computing case studies. Learn about cloud adoption, blockchain, analytics, and AI. 

You will learn about the many components of cloud computing architecture including datacenters, availability zones, virtual machines, containers, and bare metal servers. You will also familiarize yourself with different types of cloud storage options, such as Object Storage. 

You’ll gain foundational knowledge of emergent cloud trends and practices including Hybrid, Multicloud, Microservices, Serverless, DevOps, Cloud Native, Application Modernization, as well as learn about cloud security and monitoring. You’ll also explore cloud computing job roles and possible career paths and opportunities. 

You will complete a number of labs and quizzes throughout this course to increase your understanding of course content. At the end of the course, you will complete a final project where you will deploy an application to Cloud using a serverless architecture, a valuable addition to your portfolio. 

After this course, check out the related courses to help you towards your new career as a cloud engineer, full stack developer, DevOps engineer, cybersecurity analyst, and others.
",1.4K,Beginner,Specialization,3 - 6 Months
